name,iso,continent,lat,lon,area,lang
Afghanistan,AFG,Asia,34.51667,69.2,652225,Persian
Albania,ALB,Europe,41.33333,19.81667,28748,Albanian
Algeria,DZA,Africa,36.83333,3.0,2381741,Arabic
Andorra,AND,Europe,42.5,1.5,453,Catalan
Angola,AGO,Africa,-8.833333,13.25,1246700,Portuguese
Anguilla,AIA,America,18.21667,-63.06667,102,English
Antigua and Barbuda,ATG,America,17.13333,-61.83333,442,English
Argentina,ARG,America,-34.66667,-58.5,2766889,Spanish
Armenia,ARM,Asia,40.18333,44.5,29800,Armenian
Aruba,ABW,America,12.55,-70.1,193,Dutch
Australia,AUS,Pacific,-33.88334,151.1667,7686848,English
Australia,AUS,Pacific,-35.3,149.133,7686848,English
Austria,AUT,Europe,48.21667,16.36667,83858,German
Azerbaijan,AZE,Asia,40.36666,49.88334,86600,Azeri
Bahamas,BHS,America,25.08333,-77.33334,13939,English
Bahrain,BHR,Asia,26.2,50.63334,678,Arabic
Bangladesh,BGD,Asia,23.7,90.36667,143998,Bengali
Barbados,BRB,America,13.1,-59.61666,431,English
Belarus,BLR,Europe,53.85,27.5,207595,Belarussian
Belgium and Luxembourg,BEL,Europe,50.83333,4.35,33114,Dutch
Belize,BLZ,America,17.21667,-88.8,22963,English
Benin,BEN,Africa,6.4,2.517,112622,French
Benin,BEN,Africa,6.5,2.783333,112622,French
Bermuda,BMU,America,32.3,-64.8,53,English
Bhutan,BTN,Asia,27.53333,89.75,46620,Burmese
Bolivia,BOL,America,-16.5,-68.16666,1098581,Spanish
Bolivia,BOL,America,-19.083,-65.25,1098581,Spanish
Bosnia and Herzegovina,BIH,Europe,43.86666,18.43333,51233,Serbo-Croatian
Botswana,BWA,Africa,-24.75,25.91667,600372,English
Brazil,BRA,America,-23.53,-46.63,8511920,Portuguese
Brazil,BRA,America,-15.78,-47.91,8511920,Portuguese
British Virgin Islands,VGB,America,18.45,-64.61667,153,English
Brunei Darussalam,BRN,Asia,4.933333,114.9667,5765,Malay
Bulgaria,BGR,Europe,42.66667,23.3,110994,Bulgarian
Burkina Faso,BFA,Africa,12.33333,-1.666667,274200,French
Burma,MMR,Asia,16.78333,96.16666,678500,Burmese
Burundi,BDI,Africa,-3.366667,29.31667,27834,French
Cambodia,KHM,Asia,11.58333,104.9167,181035,Khmer
Cameroon,CMR,Africa,3.85,11.51667,475442,French
Canada,CAN,America,43.65,-79.38,9976139,English
Canada,CAN,America,45.42,-75.71,9976139,English
Cape Verde,CPV,Africa,14.91667,-23.5,4033,Portuguese
Cayman Islands,CYM,America,19.3,-81.38333,262,English
Central African Republic,CAF,Africa,4.383333,18.61667,622984,French
Chad,TCD,Africa,12.16667,14.98333,1284005,French
Chile,CHL,America,-33.5,-70.66666,756945,Spanish
China,CHN,Asia,39.91667,116.4333,9572378,Chinese
Christmas Island,CXR,Pacific,-10.41667,105.7167,135,English
Cocos (Keeling) Islands,CCK,Pacific,-12.5,96.83334,14,Malay
Colombia,COL,America,4.633333,-75.06667,1141748,Spanish
Comoros,COM,Africa,-11.66667,43.26667,1862,Arabic
Congo,COG,Africa,-4.233333,15.23333,342000,French
Congo (Democratic Republic of the),ZAR,Africa,-4.3,15.3,2345410,French
Cook Islands,COK,Pacific,-21.2,-159.7667,240,English
Costa Rica,CRI,America,9.983334,-84.06667,51076,Spanish
Croatia,HRV,Europe,45.8,15.96667,56538,Serbo-Croatian
Cuba,CUB,America,23.11667,-82.41666,110861,Spanish
Cyprus,CYP,Europe,35.15,33.35,9251,Greek
Czech Republic,CZE,Europe,50.1,14.43333,78864,Czech
Côte d'Ivoire,CIV,Africa,6.82,-5.28,322463,French
Côte d'Ivoire,CIV,Africa,5.316667,-4.016667,322463,French
Denmark,DNK,Europe,55.66667,12.58333,43094,Danish
Djibouti,DJI,Africa,11.6,43.15,23200,French
Dominica,DMA,America,15.3,-61.38334,751,English
Dominican Republic,DOM,America,18.5,-69.78333,48734,Spanish
East Timor,TMP,Asia,-8.57,125.58,14874,Tetum
Ecuador,ECU,America,-0.2333333,-78.5,275716,Spanish
Egypt,EGY,Africa,30.05,31.25,1001449,Arabic
El Salvador,SLV,America,13.66667,-89.16666,21041,Spanish
Equatorial Guinea,GNQ,Africa,3.75,8.8,28051,Spanish
Eritrea,ERI,Africa,15.33333,38.88334,121320,English
Estonia,EST,Europe,59.41667,24.75,45227,Estonian
Ethiopia,ETH,Africa,9.05,38.83333,1127127,Amharic
Falkland Islands,FLK,America,-51.7,-57.85,12173,English
Faroe Islands,FRO,Europe,62.01667,-6.766667,1399,Faroese
Fiji,FJI,Pacific,-18.13333,178.4167,18333,English
Finland,FIN,Europe,60.13334,25.0,336593,Swedish
France,FRA,Europe,48.86666,2.333333,547026,French
French Guiana,GUF,America,4.933333,-52.33333,91000,French
French Polynesia,PYF,Pacific,-17.53333,-149.5667,4167,French
French Southern Antartic territories,ATF,No,-66.66666,-140.0,7829,French
Gabon,GAB,Africa,0.3833333,9.416667,267667,French
Gambia,GMB,Africa,13.46667,-16.65,11295,English
Georgia,GEO,Asia,41.71667,44.81667,69700,Georgian
Germany,DEU,Europe,52.533,13.417,357325,German
Germany,DEU,Europe,51.467,6.983,357325,German
Ghana,GHA,Africa,5.55,-0.25,238538,English
Gibraltar,GIB,Europe,36.13334,-5.35,7,English
Greece,GRC,Europe,38.0,23.73333,131621,Greek
Greenland,GRL,America,64.18333,-51.73333,2166086,Greenlandic
Grenada,GRD,America,12.06667,-61.73333,345,English
Guadeloupe,GLP,America,16.0,-61.73333,1780,French
Guatemala,GTM,America,14.63333,-90.51667,108889,Spanish
Guinea,GIN,Africa,9.516666,-15.71667,245857,French
Guinea-Bissau,GNB,Africa,11.86667,-15.65,36125,Portuguese
Guyana,GUY,America,6.766667,-58.16667,214970,English
Haiti,HTI,America,18.55,-72.33334,27750,French
Honduras,HND,America,14.08333,-87.23333,112088,Spanish
Hong Kong,HKG,Asia,22.26667,114.15,1092,English
Hungary,HUN,Europe,47.5,19.05,93032,Hungarian
Iceland,ISL,Europe,64.15,-21.96667,102819,Icelandic
India,IND,Asia,28.61667,77.21667,3287590,English
Indonesia,IDN,Asia,-6.133333,106.75,1933658,Indonesian
Iran,IRN,Asia,35.66667,51.43333,1648100,Persian
Iraq,IRQ,Asia,33.33333,44.43333,437072,Arabic
Ireland,IRL,Europe,53.33333,-6.25,70285,English
Israel,ISR,Asia,32.08333,34.76667,21621,Hebrew
Italy,ITA,Europe,41.88334,12.5,301323,Italian
Jamaica,JAM,America,17.96667,-76.8,10991,English
Japan,JPN,Asia,35.66667,139.75,377801,Japanese
Jordan,JOR,Asia,31.95,35.93333,91862,Arabic
Kazakstan,KAZ,Asia,51.17,71.47,2717300,Kazakh
Kazakstan,KAZ,Asia,43.25,76.95,2717300,Kazakh
Kenya,KEN,Africa,-1.283333,36.83333,582646,English
Kiribati,KIR,Pacific,1.383333,173.15,717,English
Korea,KOR,Asia,37.5,127.0,99484,Korean
"Korea, Dem. People's Rep. of",PRK,Asia,39.0,125.7833,120538,Korean
Kuwait,KWT,Asia,29.33333,48.0,17818,Arabic
Kyrgyzstan,KGZ,Asia,42.9,74.6,198500,Kyrgyz
Lao People's Democratic Republic,LAO,Asia,17.98333,102.6333,236800,Lao
Latvia,LVA,Europe,56.95,24.1,64589,Latvian
Lebanon,LBN,Asia,33.86666,35.5,10452,Arabic
Lesotho,LSO,Africa,-29.31667,27.48333,30355,English
Liberia,LBR,Africa,6.333333,-10.76667,111369,English
Libyan Arab Jamahiriya,LBY,Africa,32.73333,13.11667,1759540,Arabic
Lithuania,LTU,Europe,54.68333,25.31667,65300,Lithuanian
Luxembourg,LUX,Europe,49.6,6.15,2586,French
Macau (Aomen),MAC,Asia,22.27,113.56,25,Portuguese
Macedonia (the former Yugoslav Rep. of),MKD,Europe,42.0,21.46667,25713,Macedonian
Madagascar,MDG,Africa,-18.86667,47.5,587041,French
Malawi,MWI,Africa,-13.96667,33.81667,118484,English
Malaysia,MYS,Asia,3.133333,101.7,329758,Malay
Maldives,MDV,Asia,4.166667,73.46667,298,Maldivian
Mali,MLI,Africa,12.66667,-7.983333,1240142,French
Malta,MLT,Europe,35.9,14.53333,316,English
Marshall Islands,MHL,Pacific,7.15,171.2,181,English
Martinique,MTQ,America,14.6,-61.08333,1100,French
Mauritania,MRT,Africa,18.15,-15.96667,1030700,Arabic
Mauritius,MUS,Africa,-20.16667,57.5,2045,English
Mexico,MEX,America,19.41667,-99.16666,1967210,Spanish
Micronesia (Federated States of),FSM,Pacific,6.916667,158.25,707,English
"Moldova, Rep.of",MDA,Europe,47.0,28.83333,33700,Romanian
Mongolia,MNG,Asia,47.9,106.8667,1565500,Mongolian
Montserrat,MSR,America,16.7,-62.21667,102,English
Morocco,MAR,Africa,34.03333,-6.85,710850,Arabic
Mozambique,MOZ,Africa,-25.96667,32.58333,801590,Portuguese
Namibia,NAM,Africa,-22.56667,17.1,825518,English
Nauru,NRU,Pacific,-0.5333334,166.9167,21,Nauruan
Nepal,NPL,Asia,27.7,85.31667,147181,Nepali
Netherland Antilles,ANT,America,12.1,-68.93333,960,Dutch
Netherlands,NLD,Europe,52.35,4.9,41863,Dutch
New Caledonia,NCL,Pacific,-22.26667,166.45,19060,French
New Zealand,NZL,Pacific,-44.28333,174.7833,268676,English
Nicaragua,NIC,America,12.1,-86.3,130670,Spanish
Niger,NER,Africa,13.53333,2.083333,1267000,French
Nigeria,NGA,Africa,6.45,3.466667,923768,English
Nigeria,NGA,Africa,9.18,7.17,923768,English
Niue,NIU,Pacific,-19.01667,-169.9167,260,Niuean
Norfolk Island,NFK,Pacific,-29.05,167.9667,35,English
Northern Mariana Islands,MNP,Pacific,15.2,145.75,477,English
Norway,NOR,Europe,59.91667,10.75,323752,Norwegian
Oman,OMN,Asia,23.61667,58.63334,212379,Arabic
Pakistan,PAK,Asia,33.66667,73.13333,882872,Urdu
Palau,PLW,Pacific,7.333333,134.4833,487,English
Palestine,PAL,Asia,31.53,34.44,6256,Arabic
Panama,PAN,America,8.95,-79.5,75648,Spanish
Papua New Guinea,PNG,Pacific,-9.5,147.1167,462840,English
Paraguay,PRY,America,-25.25,-57.66667,406752,Spanish
Peru,PER,America,-12.1,-77.05,1285216,Spanish
Philippines,PHL,Asia,14.61667,120.9667,300000,English
Pitcairn,PCN,Pacific,-25.06667,-130.0833,47,English
Poland,POL,Europe,52.25,21.0,312685,Polish
Portugal,PRT,Europe,38.73333,-9.133333,92389,Portuguese
Puerto Rico,PRI,America,18.44,-66.13,9104,English
Qatar,QAT,Asia,25.25,51.53333,11437,Arabic
Reunion,REU,Africa,-20.86667,55.46667,2517,French
Romania,ROM,Europe,44.41667,26.11667,238391,Romanian
Russian Federation,RUS,Asia,55.75,37.7,17075400,Russian
Rwanda,RWA,Africa,-1.933333,30.06667,26338,French
Saint Helena,SHN,Africa,-15.91667,-5.7,410,English
Saint Kitts and Nevis,KNA,America,17.28333,-62.71667,269,English
Saint Lucia,LCA,America,14.01667,-60.98333,617,English
Saint Vincent and the Grenadines,VCT,America,13.2,-61.23333,389,English
Samoa,WSM,Pacific,-13.8,171.75,2842,Samoan
San Marino,SMR,Europe,43.95,12.49,61,Italian
Sao Tome and Principe,STP,Africa,0.2,6.716667,964,Portuguese
Saudi Arabia,SAU,Asia,24.65,46.76667,2153168,Arabic
Senegal,SEN,Africa,14.63333,-17.45,196722,French
Serbia and Montenegro,YUG,Europe,44.83333,20.5,102173,Serbo-Croatian
Seychelles,SYC,Africa,-4.633333,55.46667,455,English
Sierra Leone,SLE,Africa,8.5,-13.28333,73326,English
Singapore,SGP,Asia,1.283333,103.85,646,English
Slovakia,SVK,Europe,48.16667,17.16667,49036,Slovak
Slovenia,SVN,Europe,46.06667,14.5,20256,Slovenian
Solomon Islands,SLB,Pacific,-9.466666,159.95,29785,English
Somalia,SOM,Africa,2.033333,45.35,637657,Somali
South Africa,ZAF,Africa,-25.73,28.22,1219912,English
South Africa,ZAF,Africa,-33.93333,18.46667,1219912,English
Spain,ESP,Europe,40.41667,-3.716667,505954,Spanish
Sri Lanka,LKA,Asia,6.916667,79.86667,65610,Sinhala
St. Pierre and Miquelon,SPM,America,46.66667,-56.16667,242,French
Sudan,SDN,Africa,15.55,32.53333,2505813,Arabic
Suriname,SUR,America,5.866667,-55.23333,163820,Dutch
Swaziland,SWZ,Africa,-26.33333,31.13333,17364,Swati
Sweden,SWE,Europe,59.33333,18.08333,449964,Swedish
Switzerland,CHE,Europe,46.95,7.433333,41288,German
Syrian Arab Republic,SYR,Asia,33.5,36.31667,184004,Arabic
Taiwan,TWN,Asia,25.08333,121.5333,35875,Chinese
Tajikistan,TJK,Asia,38.63334,68.85,143095,Tajik
"Tanzania, United Rep. of ",TZA,Africa,-6.85,39.3,945090,English
"Tanzania, United Rep. of ",TZA,Africa,-6.17,35.74,945090,English
Thailand,THA,Asia,13.73333,100.5,513115,Thai
Togo,TGO,Africa,6.166667,1.35,56785,French
Tokelau,TKL,Pacific,-9.0,-172.0,10,Tokelauan
Tonga,TON,Pacific,-21.15,-175.2333,748,Tongan
Trinidad and Tobago,TTO,America,10.63333,-61.51667,5130,English
Tunisia,TUN,Africa,36.83333,10.21667,164150,Arabic
Turkey,TUR,Europe,41.03333,28.95,780576,Turkish
Turkey,TUR,Europe,39.93,32.85,780576,Turkish
Turkmenistan,TKM,Asia,37.95,58.38334,488100,Turkmen
Turks and Caicos Islands,TCA,America,21.46667,-71.13333,430,English
Tuvalu,TUV,Pacific,-8.5,179.2,26,Tuvaluan
Uganda,UGA,Africa,0.3333333,32.58333,241038,English
Ukraine,UKR,Europe,50.41667,30.5,603677,Ukrainian
United Arab Emirates,ARE,Asia,24.46667,54.41667,83657,Arabic
United Kingdom,GBR,Europe,51.5,-0.1666667,244110,English
United States of America,USA,America,40.75,-74.0,9529106,English
United States of America,USA,America,38.867,-77.0,9529106,English
Uruguay,URY,America,-34.91667,-56.16667,176215,Spanish
Uzbekistan,UZB,Asia,41.26667,69.21667,447400,Uzbek
Vanuatu,VUT,Pacific,-17.75,168.3,14763,English
Venezuela,VEN,America,10.58333,-66.93333,911930,Spanish
Viet Nam,VNM,Asia,21.01667,105.8667,331114,Vietnamese
Wallis and Futuna,WLF,Pacific,-13.3,-176.2,274,French
Western Sahara,ESH,Africa,27.16667,-13.18333,266000,Arabic
Yemen,YEM,Asia,15.4,44.23333,547244,Arabic
Zambia,ZMB,Africa,-15.46667,28.26667,752614,English
Zimbabwe,ZWE,Africa,-17.83333,31.05,390759,English